id,question,answer,topic,difficulty
552,Write a SQL query to retrieve all records from books sorted by book_id in ascending order.,SELECT * FROM books ORDER BY book_id ASC,ORDER BY,Easy
553,Write a SQL query to select the manager and budget columns from the departments table.,"SELECT manager,budget FROM departments",SELECT,Medium
554,Write a SQL query to retrieve all records from the employees table.,SELECT * FROM employees,SELECT,Easy
555,Write a SQL query to select distinct values of flight_id and price from flights.,"SELECT DISTINCT flight_id,price FROM flights",SELECT,Hard
556,Write a SQL query to perform a RIGHT JOIN between students and courses on the course_id column.,SELECT * FROM students RIGHT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
557,Write a SQL query to find the max for each sale_date in the sales table.,"SELECT sale_date,MAX(sale_id) FROM sales GROUP BY sale_date",GROUP BY,Medium
558,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
559,Write a SQL query to retrieve all records from employees sorted by emp_name in descending order.,SELECT * FROM employees ORDER BY emp_name DESC,ORDER BY,Medium
560,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
561,Write a SQL query to select all records from courses where course_name <= 8.,SELECT * FROM courses WHERE course_name<=8,WHERE,Hard
562,Write a SQL query to retrieve all records from students sorted by grade in descending order.,SELECT * FROM students ORDER BY grade DESC,ORDER BY,Medium
563,Write a SQL query to select all records from customers where email <= 64.,SELECT * FROM customers WHERE email<=64,WHERE,Hard
564,Write a SQL query to find the count for each airline in the flights table.,"SELECT airline,COUNT(*) FROM flights GROUP BY airline",GROUP BY,Easy
565,Write a SQL query to perform a RIGHT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees RIGHT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
566,Write a SQL query to retrieve all records from sales sorted by quantity in descending order.,SELECT * FROM sales ORDER BY quantity DESC,ORDER BY,Medium
567,Write a SQL query to find the count for each dept_name in the departments table.,"SELECT dept_name,COUNT(*) FROM departments GROUP BY dept_name",GROUP BY,Easy
568,Write a SQL query to retrieve all records from courses sorted by course_id in descending order.,SELECT * FROM courses ORDER BY course_id DESC,ORDER BY,Medium
569,Write a SQL query to calculate the total sum of course_name in the courses table.,SELECT SUM(course_name) FROM courses,AGGREGATE FUNCTIONS,Medium
570,Write a SQL query to find the max for each last_name in the customers table.,"SELECT last_name,MAX(city) FROM customers GROUP BY last_name",GROUP BY,Medium
571,Write a SQL query to select distinct values of author and book_id from books.,"SELECT DISTINCT author,book_id FROM books",SELECT,Hard
572,Write a SQL query to retrieve all records from orders sorted by customer_id in descending order.,SELECT * FROM orders ORDER BY customer_id DESC,ORDER BY,Medium
573,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
574,Write a SQL query to find the maximum value of product_id in the products table.,SELECT MAX(product_id) FROM products,AGGREGATE FUNCTIONS,Easy
575,Write a SQL query to retrieve all records from customers sorted by last_name in ascending order.,SELECT * FROM customers ORDER BY last_name ASC,ORDER BY,Easy
576,Write a SQL query to select the salary and emp_name columns from the employees table.,"SELECT salary,emp_name FROM employees",SELECT,Medium
577,Write a SQL query to select all records from employees where salary = 85.,SELECT * FROM employees WHERE salary=85,WHERE,Easy
578,Write a SQL query to retrieve all records from sales sorted by quantity in ascending order.,SELECT * FROM sales ORDER BY quantity ASC,ORDER BY,Easy
579,Write a SQL query to find the avg for each course_name in the courses table.,"SELECT course_name,AVG(credits) FROM courses GROUP BY course_name",GROUP BY,Medium
580,Write a SQL query to select all records from courses where credits != 83.,SELECT * FROM courses WHERE credits!=83,WHERE,Hard
581,Write a SQL query to select all records from courses where department > 83.,SELECT * FROM courses WHERE department>83,WHERE,Medium
582,Write a SQL query to retrieve all records from courses sorted by credits in ascending order.,SELECT * FROM courses ORDER BY credits ASC,ORDER BY,Easy
583,Write a SQL query to count the number of records in the products table.,SELECT COUNT(*) FROM products,AGGREGATE FUNCTIONS,Easy
584,Write a SQL query to select all records from courses where credits < 15.,SELECT * FROM courses WHERE credits<15,WHERE,Medium
585,Write a SQL query to find the max for each course_name in the courses table.,"SELECT course_name,MAX(course_name) FROM courses GROUP BY course_name",GROUP BY,Medium
586,Write a SQL query to retrieve all records from employees sorted by salary in descending order.,SELECT * FROM employees ORDER BY salary DESC,ORDER BY,Medium
587,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
588,Write a SQL query to retrieve all records from flights sorted by flight_id in descending order.,SELECT * FROM flights ORDER BY flight_id DESC,ORDER BY,Medium
589,Write a SQL query to retrieve all records from the products table.,SELECT * FROM products,SELECT,Easy
590,Write a SQL query to retrieve all records from customers sorted by customer_id in ascending order.,SELECT * FROM customers ORDER BY customer_id ASC,ORDER BY,Easy
591,Write a SQL query to select all records from customers where last_name != 59.,SELECT * FROM customers WHERE last_name!=59,WHERE,Hard
592,Write a SQL query to find the minimum value of revenue in the sales table.,SELECT MIN(revenue) FROM sales,AGGREGATE FUNCTIONS,Easy
593,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
594,Write a SQL query to count the number of records in the employees table.,SELECT COUNT(*) FROM employees,AGGREGATE FUNCTIONS,Easy
595,Write a SQL query to retrieve all records from orders sorted by order_id in ascending order.,SELECT * FROM orders ORDER BY order_id ASC,ORDER BY,Easy
596,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
597,Write a SQL query to perform a LEFT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders LEFT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
598,Write a SQL query to select distinct values of total_amount and order_date from orders.,"SELECT DISTINCT total_amount,order_date FROM orders",SELECT,Hard
599,Write a SQL query to retrieve all records from flights sorted by origin in descending order.,SELECT * FROM flights ORDER BY origin DESC,ORDER BY,Medium
600,Write a SQL query to retrieve all records from courses sorted by instructor in descending order.,SELECT * FROM courses ORDER BY instructor DESC,ORDER BY,Medium
601,Write a SQL query to select all records from books where book_id >= 12.,SELECT * FROM books WHERE book_id>=12,WHERE,Hard
602,Write a SQL query to retrieve all records from departments sorted by location in ascending order.,SELECT * FROM departments ORDER BY location ASC,ORDER BY,Easy
603,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
604,Write a SQL query to select all records from courses where credits > 28.,SELECT * FROM courses WHERE credits>28,WHERE,Medium
605,Write a SQL query to select the total_amount and order_id columns from the orders table.,"SELECT total_amount,order_id FROM orders",SELECT,Medium
606,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
607,Write a SQL query to find the sum for each first_name in the customers table.,"SELECT first_name,SUM(last_name) FROM customers GROUP BY first_name",GROUP BY,Medium
608,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
609,Write a SQL query to select all records from courses where department != 46.,SELECT * FROM courses WHERE department!=46,WHERE,Hard
610,Write a SQL query to find the maximum value of last_name in the customers table.,SELECT MAX(last_name) FROM customers,AGGREGATE FUNCTIONS,Easy
611,Write a SQL query to calculate the average of grade in the students table.,SELECT AVG(grade) FROM students,AGGREGATE FUNCTIONS,Medium
612,Write a SQL query to find the minimum value of emp_name in the employees table.,SELECT MIN(emp_name) FROM employees,AGGREGATE FUNCTIONS,Easy
613,Write a SQL query to find the min for each quantity in the sales table.,"SELECT quantity,MIN(sale_id) FROM sales GROUP BY quantity",GROUP BY,Medium
614,Write a SQL query to retrieve all records from orders sorted by order_date in descending order.,SELECT * FROM orders ORDER BY order_date DESC,ORDER BY,Medium
615,Write a SQL query to find the minimum value of product_name in the products table.,SELECT MIN(product_name) FROM products,AGGREGATE FUNCTIONS,Easy
616,Write a SQL query to retrieve all records from products sorted by stock in descending order.,SELECT * FROM products ORDER BY stock DESC,ORDER BY,Medium
617,Write a SQL query to find the avg for each price in the flights table.,"SELECT price,AVG(origin) FROM flights GROUP BY price",GROUP BY,Medium
618,Write a SQL query to calculate the total sum of price in the flights table.,SELECT SUM(price) FROM flights,AGGREGATE FUNCTIONS,Medium
619,Write a SQL query to retrieve all records from the employees table.,SELECT * FROM employees,SELECT,Easy
620,Write a SQL query to retrieve all records from orders sorted by order_id in ascending order.,SELECT * FROM orders ORDER BY order_id ASC,ORDER BY,Easy
621,Write a SQL query to count the number of records in the departments table.,SELECT COUNT(*) FROM departments,AGGREGATE FUNCTIONS,Easy
